actor_a,actor_b,weight
Adam Sandler,Kevin James,9
Daniel Radcliffe,Rupert Grint,8
Daniel Radcliffe,Emma Watson,7
Emma Watson,Rupert Grint,7
Megumi Hayashibara,Megumi Ogata,6
Rani Mukerji,Shah Rukh Khan,6
Kajol,Shah Rukh Khan,6
Michelle Rodriguez,Vin Diesel,6
Mahesh Babu,Prakash Raj,6
Helena Bonham Carter,Johnny Depp,6
Deepika Padukone,Shah Rukh Khan,5
Antonio Banderas,Salma Hayek,5
Courteney Cox,David Arquette,5
Keanu Reeves,Laurence Fishburne,5
John Leguizamo,Ray Romano,5
Hugh Jackman,Patrick Stewart,5
Megumi Hayashibara,Yuko Miyamura,5
Jackie Chan,Maggie Cheung,5
David Arquette,Neve Campbell,5
Megumi Ogata,Yuko Miyamura,5
Jay Chandrasekhar,Kevin Heffernan,5
Chris Evans,Robert Downey Jr.,5
Burt Reynolds,Dom Deluise,5
Mia Farrow,Woody Allen,5
Mads Mikkelsen,Nikolaj Lie Kaas,5
Jordana Brewster,Vin Diesel,5
Patrick Wilson,Vera Farmiga,5
Paul Walker,Vin Diesel,5
Courteney Cox,Neve Campbell,5
Akshay Kumar,Paresh Rawal,5
Leonard Nimoy,William Shatner,5
Cem Yilmaz,Zafer Algoz,5
George Clooney,Julia Roberts,5
Nicoletta Braschi,Roberto Benigni,5
Deforest Kelley,James Doohan,5
Deforest Kelley,Leonard Nimoy,5
Deforest Kelley,William Shatner,5
James Doohan,Leonard Nimoy,5
James Doohan,William Shatner,5
Denis Leary,John Leguizamo,5
Denis Leary,Ray Romano,5
Masako Nozawa,Ryo Horikawa,5
Ben Stiller,Owen Wilson,5
Cameron Diaz,Eddie Murphy,4
Carrie-Anne Moss,Keanu Reeves,4
Paul Rudd,Steve Carell,4
Brad Pitt,George Clooney,4
Chris Evans,Scarlett Johansson,4
Bruce Willis,Samuel L. Jackson,4
Kriti Sanon,Pankaj Tripathi,4
Tim Allen,Tom Hanks,4
Jonathan Frakes,Patrick Stewart,4
Bradley Cooper,Jennifer Lawrence,4
Cameron Diaz,Mike Myers,4
Ed Helms,Zach Galifianakis,4
Jack Lemmon,Walter Matthau,4
Nick Frost,Simon Pegg,4
Chang Chen,Tony Leung Chiu-Wai,4
Jon Favreau,Vince Vaughn,4
Burt Young,Sylvester Stallone,4
Dwayne Johnson,Vin Diesel,4
Arvind Swami,Nassar,4
Jennifer Lawrence,Josh Hutcherson,4
Kotono Mitsuishi,Megumi Hayashibara,4
Jennifer Lawrence,Liam Hemsworth,4
Deepika Padukone,Ranveer Singh,4
Josh Hutcherson,Liam Hemsworth,4
Anushka Sharma,Shah Rukh Khan,4
Hugh Jackman,Ian Mckellen,4
Beverly D'Angelo,Chevy Chase,4
Danny Glover,Mel Gibson,4
Adam Sandler,Andy Samberg,4
Pankaj Tripathi,Rajkummar Rao,4
Andy Samberg,Selena Gomez,4
James Franco,Seth Rogen,4
Jesse Eisenberg,Woody Harrelson,4
Amrish Puri,Shah Rukh Khan,4
Kotono Mitsuishi,Megumi Ogata,4
Ajay Devgn,Tabu,4
Danny Devito,Michael Douglas,4
Simon Pegg,Tom Cruise,4
Cem Yilmaz,Ozan Guven,4
Frederic Diefenthal,Samy Naceri,4
Akshay Kumar,Katrina Kaif,4
Judi Dench,Maggie Smith,4
Dwayne Johnson,Kevin Hart,4
Jordana Brewster,Michelle Rodriguez,4
Audrey Tautou,Romain Duris,4
Ewan Mcgregor,Natalie Portman,4
Chris Hemsworth,Mark Ruffalo,4
Mark Ruffalo,Robert Downey Jr.,4
Tom Cruise,Ving Rhames,4
Akio Otsuka,Koichi Yamadera,4
Bubba Smith,Steve Guttenberg,4
Eddie Murphy,Mike Myers,4
Joe Pesci,Robert De Niro,4
Emi Takei,Takeru Satoh,4
Geoffrey Rush,Johnny Depp,4
Geoffrey Rush,Orlando Bloom,4
Johnny Depp,Orlando Bloom,4
George Clooney,Matt Damon,4
Jason Statham,Jet Li,4
Adam Sandler,Chris Rock,4
Akshay Kumar,Jacqueline Fernandez,4
Costas Mandylor,Tobin Bell,4
Freddie Prinze Jr.,Matthew Lillard,4
Kristen Stewart,Robert Pattinson,4
Michael Madsen,Uma Thurman,3
Patrick Wilson,Rose Byrne,3
Joseph Vijay,Samantha Ruth Prabhu,3
Chris Hemsworth,Natalie Portman,3
Charlie Sheen,Tom Berenger,3
Ahmet Kural,Murat Cemcir,3
Christian Clavier,Jean Reno,3
Bill Murray,Harold Ramis,3
Akshay Kumar,John Abraham,3
Chris Tucker,Jackie Chan,3
Christopher Lloyd,Michael J. Fox,3
James Mcavoy,Jennifer Lawrence,3
Gemma Jones,Renee Zellweger,3
Harrison Ford,Karen Allen,3
Jason Sudeikis,Jennifer Aniston,3
Mel Gibson,Rene Russo,3
Georgie Henley,Skandar Keynes,3
Dianne Wiest,Mia Farrow,3
Kristen Bell,Mila Kunis,3
Bud Spencer,Terence Hill,3
Ben Stiller,Chris Rock,3
Chris Pine,Zachary Quinto,3
Kris Kristofferson,Wesley Snipes,3
Sylvester Stallone,Talia Shire,3
Keira Knightley,Matthew Goode,3
Anna Cathcart,Lana Condor,3
Ben Affleck,Matt Damon,3
Gwyneth Paltrow,Jude Law,3
Maggie Cheung,Tony Leung Chiu-Wai,3
Roberto Benigni,Tom Waits,3
Anna Cathcart,Noah Centineo,3
Robert Downey Jr.,Scarlett Johansson,3
Bradley Cooper,Robert De Niro,3
Akshay Kumar,Amitabh Bachchan,3
Ben Stiller,David Schwimmer,3
Ben Stiller,Jada Pinkett Smith,3
Ethan Hawke,Julie Delpy,3
Brent Spiner,Jonathan Frakes,3
Brent Spiner,Levar Burton,3
Brent Spiner,Patrick Stewart,3
Carrie-Anne Moss,Hugo Weaving,3
Carrie-Anne Moss,Laurence Fishburne,3
Hugo Weaving,Keanu Reeves,3
Hugo Weaving,Laurence Fishburne,3
Jonathan Frakes,Levar Burton,3
Levar Burton,Patrick Stewart,3
