person,film,role
Tim Robbins,"('The Shawshank Redemption', 1994)",actor
Morgan Freeman,"('The Shawshank Redemption', 1994)",actor
Bob Gunton,"('The Shawshank Redemption', 1994)",actor
William Sadler,"('The Shawshank Redemption', 1994)",actor
Frank Darabont,"('The Shawshank Redemption', 1994)",director
Arun Govil,"('Ramayana: The Legend of Prince Rama', 1993)",actor
Nikhil Kapoor,"('Ramayana: The Legend of Prince Rama', 1993)",actor
Edie Mirman,"('Ramayana: The Legend of Prince Rama', 1993)",actor
Rael Padamsee,"('Ramayana: The Legend of Prince Rama', 1993)",actor
Ram Mohan,"('Ramayana: The Legend of Prince Rama', 1993)",director
Yugo Sako,"('Ramayana: The Legend of Prince Rama', 1993)",director
Koichi Saski,"('Ramayana: The Legend of Prince Rama', 1993)",director
Christian Bale,"('The Dark Knight', 2008)",actor
Heath Ledger,"('The Dark Knight', 2008)",actor
Aaron Eckhart,"('The Dark Knight', 2008)",actor
Michael Caine,"('The Dark Knight', 2008)",actor
Christopher Nolan,"('The Dark Knight', 2008)",director
Liam Neeson,"(""Schindler's List"", 1993)",actor
Ralph Fiennes,"(""Schindler's List"", 1993)",actor
Ben Kingsley,"(""Schindler's List"", 1993)",actor
Caroline Goodall,"(""Schindler's List"", 1993)",actor
Steven Spielberg,"(""Schindler's List"", 1993)",director
Elijah Wood,"('The Lord of the Rings: The Return of the King', 2003)",actor
Viggo Mortensen,"('The Lord of the Rings: The Return of the King', 2003)",actor
Ian Mckellen,"('The Lord of the Rings: The Return of the King', 2003)",actor
Orlando Bloom,"('The Lord of the Rings: The Return of the King', 2003)",actor
Peter Jackson,"('The Lord of the Rings: The Return of the King', 2003)",director
Chanchal Chowdhury,"('Mirror Game', 2016)",actor
Masuma Rahman Nabila,"('Mirror Game', 2016)",actor
Partha Barua,"('Mirror Game', 2016)",actor
Lutfur Rahman George,"('Mirror Game', 2016)",actor
Amitabh Reza Chowdhury,"('Mirror Game', 2016)",director
Karan Kandhapan,"('Daman', 2022)",actor
Babushan Mohanty,"('Daman', 2022)",actor
Dipanwit Dashmohapatra,"('Daman', 2022)",actor
