person,rating,genre,movie_count
'Weird Al' Yankovic,6.9,Comedy,1
50 Cent,6.14,Action,5
A. Michael Baldwin,6.0,Action,1
A.J. Cook,6.2,Horror,2
A.J. Langer,6.050000000000001,Comedy,2
A.R. Murugadoss,6.7,Action,1
Aadhi,8.2,Action,1
Aahana Kumra,7.1,Action,1
Aaliyah,5.65,Action,2
Aamir Bashir,7.3,Crime,1
Aamir Khan,7.468181818181819,Action,22
Aamir Naik,7.3,Action,1
Aaran Thomas,6.1,Adventure,1
Aaron Abrams,6.35,Comedy,2
Aaron Ashmore,5.35,Horror,2
Aaron Burns,5.1,Adventure,2
Aaron Davis,5.0,Drama,1
Aaron Dismuke,7.3,Animation,1
Aaron Douglas,5.4,Drama,1
Aaron Eckhart,6.4125000000000005,Action,24
Aaron Glenane,5.85,Action,2
Aaron Hilmer,7.8,Action,1
Aaron Moorhead,6.5,Drama,1
Aaron Paul,6.609999999999999,Action,10
Aaron Poole,6.1,Horror,2
Aaron Ruell,7.0,Comedy,1
Aaron Schwartz,6.6,Comedy,1
Aaron Taylor-Johnson,6.733333333333333,Action,12
Aaron Tveit,6.6,Biography,1
Aaron Yoo,6.6000000000000005,Crime,3
Aasif Mandvi,6.65,Biography,2
Aavi Haas,6.5,Comedy,1
Aayush Sharma,6.6,Action,1
Abbi Jacobson,7.6,Animation,1
Abbie Cornish,6.454545454545454,Action,11
Abbie Murphy,6.3,Comedy,1
Abby Craden,7.5,Action,1
Abby Ryder Fortson,7.0,Comedy,2
Abdel Ahmed Ghili,8.1,Crime,1
Abdolhosein Bagheri,7.7,Drama,1
Abdullrahman Al Gohani,7.5,Comedy,1
Abe Vigoda,5.8,Comedy,1
Abel Jafri,7.1,Drama,1
Abhay Deol,7.775,Comedy,4
Abhimanyu Dasani,6.9,Comedy,1
Abhimanyu Singh,8.2,Action,1
Abhin Galeya,6.2,Action,1
Abhinaya,6.6,Action,1
Abhirami Venkatachalam,7.7,Action,1
Abhishek Bachchan,6.421428571428572,Action,14
Abhishek Banerjee,7.05,Drama,2
Abigail Breslin,6.766666666666667,Drama,15
Abigail Clayton,6.4,Crime,1
Abigail Cowen,6.7,Drama,1
Abigail Cruttenden,6.4,Drama,1
Abigail Eames,6.1,Action,1
Abigail Spencer,6.05,Biography,4
Abigail Stone,5.3,Drama,1
Abolfazl Ahankhah,8.2,Biography,1
Abra,6.0,Action,1
Abraham Attah,7.7,Drama,1
Abraham Benrubi,7.4,Action,1
Abraham Clinkscales,6.1,Drama,1
Abrar Zahoor,7.6,Biography,1
Achita Sikamana,7.0,Horror,1
Achyuth Kumar,8.3,Action,2
Adah Sharma,7.0,Drama,2
Adain Bradley,5.5,Horror,1
Adam Arkin,6.35,Drama,2
Adam Bakri,7.5,Crime,1
Adam Baldwin,7.025,Drama,4
Adam Bay,7.4,Comedy,1
Adam Beach,6.433333333333334,Comedy,3
Adam Bessa,7.05,Action,2
Adam Bousdoukos,7.15,Comedy,2
Adam Brody,5.966666666666667,Comedy,9
Adam Brooks,7.1,Comedy,1
Adam Bryant,7.5,Comedy,1
Adam Butcher,7.0,Crime,1
Adam Chubbuck,5.8,Drama,1
Adam Cockburn,6.2,Action,1
Adam Cronheim,6.3,Adventure,1
Adam Deacon,6.65,Crime,2
Adam Demos,5.85,Comedy,2
Adam Devine,5.942857142857143,Comedy,7
Adam Driver,6.725,Comedy,20
Adam Faison,6.0,Horror,1
Adam Garcia,6.0,Comedy,3
Adam Goldberg,6.7,Comedy,3
Adam Hann-Byrd,6.6,Drama,1
Adam Herschman,6.4,Comedy,2
Adam James,5.0,Drama,1
Adam Kaufman,5.6,Horror,1
Adam Lamberg,5.5,Adventure,1
Adam Lavorgna,5.5,Comedy,1
Adam Levine,7.4,Comedy,1
Adam Lustick,5.6,Comedy,1
Adam Pascal,7.2,Comedy,1
Adam Quintero,5.1,Crime,1
Adam Rayner,5.6,Action,1
Adam Rodriguez,5.6,Comedy,1
Adam Sandler,6.180487804878049,Comedy,41
Adam Scott,5.944444444444445,Comedy,9
Adam Sevani,6.1000000000000005,Drama,3
Adam Shapiro,6.0,Horror,1
Adam Trese,5.4,Comedy,2
Adam Wingard,5.9,Horror,2
Adam Wolf Mayerson,6.4,Comedy,1
Adam Young,6.0,Action,1
Adamo Dionisi,7.2,Crime,1
Adan Canto,6.2,Drama,1
Adar Beck,6.8,Crime,1
Adarsh Gourav,7.1,Crime,1
Addison Christie,7.3,Adventure,1
Addison Timlin,5.8,Crime,3
Adeel Akhtar,7.3,Comedy,1
Adel Bencherif,7.8,Crime,1
Adel Karam,7.6,Crime,1
Adelaide Clemens,5.45,Horror,2
Adelaide Kane,5.7,Horror,1
Adele Exarchopoulos,7.300000000000001,Drama,2
Adele Haenel,7.06,Drama,5
Aden Young,5.65,Action,2
Adewale Akinnuoye-Agbaje,5.9399999999999995,Action,5
Adhir Kalyan,6.3,Drama,1
Adil Hussain,7.3,Adventure,4
Adithya Bhaskar,8.5,Drama,1
Aditi Balan,8.4,Drama,1
Aditi Rao Hydari,7.05,Action,2
Aditya Geddada,5.9,Drama,1
Aditya Pancholi,6.7,Comedy,1
Aditya Paul,8.1,Action,1
Aditya Roy Kapoor,7.025,Drama,4
Aditya Srivastav,7.300000000000001,Crime,4
Adivi Sesh,7.949999999999999,Action,2
Adjoa Andoh,6.4,Drama,1
Adnan Haskovic,7.3,Drama,1
Adnan Siddiqui,7.2,Crime,1
Adolph Caesar,7.2,Crime,1
Adria Arjona,5.675,Action,4
Adria Salazar,6.7,Biography,1
Adrian Edmondson,6.1,Comedy,1
Adrian G. Griffiths,5.3,Adventure,1
Adrian Greensmith,6.7,Comedy,1
Adrian Grenier,6.18,Comedy,5
Adrian Holmes,5.7,Drama,1
Adrian Martinez,6.15,Comedy,2
Adrian Pang,5.2,Action,1
Adrian Pasdar,6.9,Horror,1
Adrian Rawlins,7.2,Drama,1
Adrian Schiller,5.7,Biography,1
Adrian Titieni,7.3,Crime,1
Adrian Zmed,6.3,Comedy,1
Adriana Asti,8.5,Drama,1
Adriana Barraza,6.0,Drama,4
Adriana Mocca,6.4,Horror,1
Adriana Ugarte,7.266666666666667,Drama,3
Adriane Daff,6.2,Crime,1
